# Mean fitness, Standard deviation of fitness, Standard error of the mean fitness, Mean best fitness, Standard deviation of best fitness, Standard error of the mean best fitness
0.0495,0.0547,0.0077,0.0495,0.0547,0.0077
0.0814,0.0719,0.0102,0.0972,0.0639,0.0090
0.1629,0.2298,0.0325,0.1981,0.2133,0.0302
0.1937,0.2672,0.0378,0.2686,0.2647,0.0374
0.2224,0.3120,0.0441,0.3205,0.3110,0.0440
0.1682,0.2447,0.0346,0.3205,0.3110,0.0440
0.1860,0.2671,0.0378,0.3216,0.3106,0.0439
0.2069,0.2860,0.0404,0.3261,0.3092,0.0437
0.2223,0.3287,0.0465,0.3436,0.3186,0.0451
0.1871,0.2678,0.0379,0.3502,0.3145,0.0445
0.2095,0.2967,0.0420,0.3538,0.3131,0.0443
0.1655,0.2414,0.0341,0.3733,0.3203,0.0453
0.2025,0.3104,0.0439,0.3874,0.3301,0.0467
0.1991,0.3150,0.0445,0.3913,0.3296,0.0466
0.1949,0.2932,0.0415,0.4025,0.3404,0.0481
0.1700,0.2550,0.0361,0.4028,0.3402,0.0481
0.1907,0.2634,0.0373,0.4077,0.3367,0.0476
0.1980,0.2619,0.0370,0.4130,0.3332,0.0471
0.2093,0.3116,0.0441,0.4130,0.3332,0.0471
0.2704,0.3454,0.0488,0.4343,0.3411,0.0482
0.2279,0.2975,0.0421,0.4356,0.3402,0.0481
0.2434,0.3074,0.0435,0.4479,0.3328,0.0471
0.2516,0.3279,0.0464,0.4479,0.3328,0.0471
0.1882,0.2949,0.0417,0.4479,0.3328,0.0471
0.2224,0.3340,0.0472,0.4479,0.3328,0.0471
0.2155,0.3119,0.0441,0.4526,0.3312,0.0468
0.2778,0.3706,0.0524,0.4612,0.3328,0.0471
0.2202,0.3182,0.0450,0.4612,0.3328,0.0471
0.2329,0.3284,0.0464,0.4619,0.3324,0.0470
0.2435,0.3318,0.0469,0.4619,0.3324,0.0470
0.2279,0.3160,0.0447,0.4619,0.3324,0.0470
0.2571,0.3606,0.0510,0.4619,0.3324,0.0470
0.1781,0.2363,0.0334,0.4619,0.3324,0.0470
0.2299,0.3291,0.0465,0.4619,0.3324,0.0470
0.2670,0.3400,0.0481,0.4620,0.3323,0.0470
0.2743,0.3798,0.0537,0.4620,0.3323,0.0470
0.2657,0.3319,0.0469,0.4770,0.3392,0.0480
